word_id,word,StressPos,OLD20,PLD20,PUP,OUP,LengthOrth,LengthPhon,NormPLD,NormOLD,Duration
95,тифон,2,4.0,4.0,1.0,1.0,5,5,0.8,0.8,1.0155
91,тойза,2,3.95,4.0,0.8,0.6,5,5,0.8,0.79,0.9810416666666668
133,толье,2,4.0,4.0,1.0,0.6,5,5,0.8,0.8,0.9364375
63,тоюнт,2,4.0,5.0,0.6666666666666666,0.4,5,6,0.8333333333333334,0.8,1.0878333333333334
8,транка,1,4.8,5.0,0.8333333333333334,1.0,6,6,0.8333333333333334,0.7999999999999999,1.1100833333333333
34,треза,1,4.0,4.95,1.0,1.0,5,5,0.99,0.8,1.0309583333333334
52,трефин,2,4.95,5.0,0.6666666666666666,0.6666666666666666,6,6,0.8333333333333334,0.8250000000000001,1.0460208333333334
96,тричок,2,4.9,5.0,0.6666666666666666,0.6666666666666666,6,6,0.8333333333333334,0.8166666666666668,1.072125
44,туан,2,3.0,3.55,0.75,1.0,4,4,0.8875,0.75,0.9476666666666668
0,тунка,1,4.0,4.0,0.8,0.8,5,5,0.8,0.8,0.9972916666666668
93,урул,2,3.0,3.0,0.75,0.75,4,4,0.75,0.75,0.8012291666666667
109,ускут,2,4.0,4.0,0.8,0.8,5,5,0.8,0.8,0.9557916666666668
55,фазлек,2,5.0,5.0,0.6666666666666666,0.5,6,6,0.8333333333333334,0.8333333333333334,0.9854166666666668
110,фектет,2,5.0,5.0,0.8333333333333334,0.5,6,6,0.8333333333333334,0.8333333333333334,1.0816875
75,фопьяк,2,5.0,5.0,0.5,0.5,6,6,0.8333333333333334,0.8333333333333334,1.065604166666667
49,хальдан,2,5.55,5.0,0.6666666666666666,0.5714285714285714,7,6,0.8333333333333334,0.7928571428571428,0.9839791666666666
17,хика,1,3.0,4.0,0.75,0.75,4,4,1.0,0.75,0.9414583333333332
18,ходо,1,3.0,3.25,1.0,1.0,4,4,0.8125,0.75,0.9130208333333332
50,хруты,2,4.0,4.0,0.8,0.8,5,5,0.8,0.8,0.9354583333333332
21,цатка,1,4.0,4.0,0.6,0.4,5,5,0.8,0.8,1.0011458333333334
61,цвутня,1,5.0,5.0,0.3333333333333333,0.3333333333333333,6,6,0.8333333333333334,0.8333333333333334,1.080854166666667
38,целдер,1,5.0,5.8,0.6666666666666666,0.6666666666666666,6,6,0.9666666666666668,0.8333333333333334,1.0295625
16,циньво,1,4.95,4.8,0.8,0.3333333333333333,6,5,0.96,0.8250000000000001,1.0354583333333334
84,цупка,1,4.0,4.0,0.4,0.6,5,5,0.8,0.8,0.9728333333333332
111,черан,2,3.95,4.0,0.8,0.8,5,5,0.8,0.79,0.9518125
