is_word,rt,word,is_correct,age,modality,experiment_id,subject,is_outlier_word,is_outlier_subject,is_outlier,rtz_subject,rtz_word,rtz,word_id,Freq(ipm),StressPos,MeanValency,MedianValency,OLD20,PLD20,PUP,OUP,Duration,NormOLD,NormPLD,LengthOrth,LengthPhon
0,1.251544500002638,дактон,1,19,1,1,1101,0,0,0,0.12909585968234813,-0.41403306342647755,-0.3582864934458051,10,,2,,,5.0,5.0,0.8333333333333334,0.5,0.9772083333333332,0.8333333333333334,0.8333333333333334,6,6
0,1.201563600101508,лазоть,1,19,1,1,1101,0,0,0,-0.012063567744885918,-0.47451034959024174,-0.2808953069367023,11,,2,,,4.8,4.0,1.0,0.3333333333333333,1.0211041666666667,0.7999999999999999,0.8,6,5
0,1.268726499984041,пагочь,1,19,1,1,1101,0,0,0,0.17762242251389845,-0.4978095322924997,-0.2587909660714977,12,,1,,,4.95,4.0,1.0,0.8333333333333334,1.0800416666666666,0.8250000000000001,0.8,6,5
1,1.294455499970354,овца,0,19,1,1,1101,0,0,0,0.250287999034683,0.6245696635595565,0.5961158972455514,71,1.2430380486862944,2,0.027027,-0.83556,3.7,3.85,1.0,1.0,0.91175,0.925,0.9625,4,4
1,1.786862400011159,зебра,1,19,1,1,1101,0,0,0,1.6409767663133186,1.9551995411210927,1.7292015230313986,150,0.2787536009528289,1,0.027027,0.258913,4.0,4.0,0.6,0.2,0.966083333333333,0.8,0.8,5,5
1,1.446562699973583,банан,1,19,1,1,1101,0,0,0,0.6798794090030771,1.4757069287641122,1.0423338827463888,109,0.8633228601204559,2,0.027027,0.258913,4.0,4.0,1.0,1.0,0.905854166666666,0.8,0.8,5,5
1,1.135152000002563,полет,1,19,1,1,1101,0,0,0,-0.19962768649900964,-0.7130825880056519,-0.32901851391683806,97,1.8228216453031043,2,0.027027,0.625302,4.0,4.15,1.0,1.0,0.96475,0.8,0.83,5,5
0,1.034227899974212,бекня,1,19,1,1,1101,0,0,0,-0.4846643345344091,-0.7396891338168536,-0.6003245865064567,13,,1,,,4.0,4.6,0.4,0.6,0.8536041666666667,0.8,0.92,5,5
1,0.8904332000529394,сова,1,19,1,1,1101,0,0,0,-0.8907790213069634,-1.2513622442806502,-0.5013424249849998,181,0.9294189257142929,2,0.406811,0.318981,3.55,3.95,1.0,1.0,0.918708333333333,0.8875,0.9875,4,4
0,0.986300199991092,дира,0,19,1,1,1101,0,0,0,-0.6200249763176622,-0.676220837320231,-0.7191038306273673,14,,2,,,3.0,3.25,1.0,1.0,0.8467291666666666,0.75,0.8125,4,4
0,2.484102100017481,пелань,1,19,1,1,1101,0,1,1,3.6101681379597443,2.3654657152773644,2.850673508070756,15,,2,,,4.95,4.0,0.8,0.6666666666666666,0.936375,0.8250000000000001,0.8,6,5
1,1.299893399933353,звонок,1,19,1,1,1101,0,0,0,0.26564608275670465,1.243668579565766,0.7618859261892594,88,1.8836614351536176,2,0.027027,-0.15244,4.95,5.0,1.0,0.166666666666666,0.988625,0.825,0.8333333333,6,6
0,1.727944000042044,циньво,1,19,1,1,1101,0,0,0,1.4745754485895255,0.46419049970423065,0.8669849227809833,16,,1,,,4.95,4.8,0.8,0.3333333333333333,1.0354583333333334,0.8250000000000001,0.96,6,5
1,1.076343600056134,карман,1,19,1,1,1101,0,0,0,-0.3657183347420604,-0.7209172070780687,-0.19470506508275465,136,2.080987046910887,2,-0.07461,-0.06047,4.95,5.0,1.0,1.0,1.01160416666666,0.825,0.8333333333,6,6
0,1.20007640006952,хика,1,19,1,1,1101,0,0,0,-0.016263818348625586,-0.1996551635113438,0.01241492260890425,17,,1,,,3.0,4.0,0.75,0.75,0.9414583333333332,0.75,1.0,4,4
0,1.147087899968028,ходо,1,19,1,1,1101,0,0,0,-0.16591751304701663,-0.8517435264310401,-0.39070152655480467,18,,1,,,3.0,3.25,1.0,1.0,0.9130208333333332,0.75,0.8125,4,4
1,0.904076100094244,дача,1,19,1,1,1101,0,0,0,-0.8522478231475239,-0.9689364075340627,-0.5568876990398001,129,1.91803033678488,1,0.552436,0.267897,3.75,3.8,1.0,0.5,0.917666666666666,0.9375,0.95,4,4
1,1.116885100025684,чудо,1,19,1,1,1101,0,0,0,-0.2512182970463897,-0.25025342654337807,-0.08626367218877087,178,1.931457870689005,1,0.027027,1.546344,3.5,4.0,1.0,1.0,0.926583333333333,0.875,1.0,4,4
0,0.889217899995856,дрыпля,1,19,1,1,1101,0,0,0,-0.8942113536689162,-1.0591728874492847,-0.6514261295644718,19,,1,,,5.0,5.0,0.6666666666666666,0.3333333333333333,0.9534375,0.8333333333333334,0.8333333333333334,6,6
0,1.034368199994788,жикно,1,19,1,1,1101,0,0,0,-0.4842680897566698,-0.9464394833355377,-0.2493440553211332,20,,2,,,4.0,4.0,0.6,0.6,0.9295,0.8,0.8,5,5
1,0.9530588999623432,зима,1,19,1,1,1101,0,0,0,-0.713907297129757,-0.7331201377325667,-0.3925823041857887,31,2.0253058652647704,2,-0.20246,0.060971,3.7,3.85,1.0,0.25,0.933354166666666,0.925,0.9625,4,4
1,1.119250200106762,конец,1,19,1,1,1101,0,0,0,-0.2445386219322267,-0.5855803831694641,-0.20740578830932888,69,2.8025684983139567,2,0.027027,-1.16172,4.0,4.05,1.0,1.0,1.01491666666666,0.8,0.81,5,5
1,1.147279600030743,луна,1,19,1,1,1101,0,0,0,-0.16537610080465728,0.6191155526699658,0.4854442650151128,159,1.6608654780038692,2,0.027027,0.318981,3.45,3.5,1.0,1.0,0.845,0.8625,0.875,4,4
1,1.386192500009201,лодка,1,19,1,1,1101,0,0,0,0.5093778198460734,1.930037042980072,1.070466922265314,47,1.7986506454452689,1,-0.00597,-0.01705,4.0,4.0,0.8,0.8,0.913395833333333,0.8,0.8,5,5
1,1.558290499961004,губа,1,19,1,1,1101,0,0,0,0.9954285948946325,2.1640904903560485,1.3579056695414562,131,2.155336037465062,2,0.027027,-0.09167,3.55,3.85,1.0,1.0,0.876083333333333,0.8875,0.9625,4,4
1,0.8540012999437749,весна,1,19,1,1,1101,0,0,0,-0.9936724499900986,-0.9899239717905012,-0.6479910300247568,14,1.9604707775342989,3,0.027027,1.036688,4.0,4.0,1.0,0.4,0.937541666666666,0.8,0.8,5,5
1,0.7922488999320194,дочка,1,19,1,1,1101,0,0,0,-1.1680777417147452,-1.353549890007946,-0.49531008365802515,125,1.7331972651065697,1,1.395931,0.984428,4.0,4.0,0.8,1.0,0.954895833333333,0.8,0.8,5,5
1,0.9692547000013292,мясо,1,19,1,1,1101,0,0,0,-0.6681660266694075,-0.6100244113818831,-0.332283320962916,4,1.8536982117761744,1,-0.31127,-0.24159,3.7,3.75,1.0,1.0,0.866395833333333,0.925,0.9375,4,4
0,1.042598399915732,цатка,1,19,1,1,1101,0,0,0,-0.46102380422459094,-0.5403063493294761,-0.7486738088959904,21,,1,,,4.0,4.0,0.6,0.4,1.0011458333333334,0.8,0.8,5,5
1,0.8791256000986323,лужа,1,19,1,1,1101,0,0,0,-0.9227147075047647,-1.4014072055705453,-0.47514693699910515,29,1.3463529744506386,1,-1.00913,-1.14888,3.7,3.95,1.0,1.0,0.955208333333333,0.925,0.9875,4,4
1,1.094245900050737,осень,1,19,1,1,1101,0,0,0,-0.3151574520475172,-0.30611750970550594,-0.07919625752528493,102,1.912753303671323,1,0.093946,0.142766,3.95,3.65,1.0,1.0,0.908208333333333,0.79,0.9125,5,4
1,0.9137591000180691,гора,1,19,1,1,1101,0,0,0,-0.8249004418933059,-0.5072560501885367,-0.31973178051485074,23,2.062581984228163,2,0.027027,0.259581,3.4,3.65,1.0,1.0,0.805708333333333,0.85,0.9125,4,4
0,1.108242299989797,штокса,1,19,1,1,1101,0,0,0,-0.27562787564235897,-0.5402745216795426,-0.5681782023653881,22,,1,,,4.95,4.95,0.6666666666666666,0.5,1.0790833333333334,0.8250000000000001,0.8250000000000001,6,6
0,1.2356667999411,лоча,1,19,1,1,1101,0,0,0,0.08425298862597104,-0.11929459385518658,0.105097639120216,23,,1,,,3.55,3.9,0.75,0.75,0.9283541666666668,0.8875,0.975,4,4
1,0.9884013999253513,вишня,1,19,1,1,1101,0,0,0,-0.6140906257914229,-0.6413118112683841,-0.26201827892361323,103,0.8750612633917001,1,0.710562,0.80146,4.25,4.75,0.8,0.4,0.924770833333333,0.85,0.95,5,5
0,1.208836899953894,желсок,1,19,1,1,1101,0,0,0,0.00847817609526848,-0.5071473760076557,-0.5876553591548684,24,,2,,,4.95,5.0,0.6666666666666666,0.6666666666666666,1.1116666666666666,0.8250000000000001,0.8333333333333334,6,6
