,is_word,rt,word,is_test,is_correct,age,modality,experiment_id,subject
210,1,3.327639399911277,баран,1,0,19,1,1,1101
211,0,2.777578099980019,прена,1,1,19,1,1,1101
212,1,1.532676900038496,точка,1,0,19,1,1,1101
213,1,2.546879100031219,слово,1,1,19,1,1,1101
214,0,1.722392900031991,тифон,1,1,19,1,1,1101
215,1,1.336160200065933,число,1,1,19,1,1,1101
216,1,1.279645700007677,белка,1,1,19,1,1,1101
217,1,0.9276246998924762,беда,1,1,19,1,1,1101
218,0,1.287555299932137,тричок,1,1,19,1,1,1101
219,1,1.549201300018467,ящик,1,1,19,1,1,1101
220,0,1.001373700099066,такслир,1,1,19,1,1,1101
221,0,1.287774099968374,галесь,1,1,19,1,1,1101
222,1,1.545038999989629,плечо,1,1,19,1,1,1101
223,1,1.002628899994306,мыло,1,1,19,1,1,1101
224,0,1.2317479000194,бикень,1,1,19,1,1,1101
225,1,1.035752199939452,кролик,1,1,19,1,1,1101
226,1,0.8850995000684634,жена,1,1,19,1,1,1101
227,0,1.172481599962339,журтынь,1,1,19,1,1,1101
228,1,1.035164500004612,поле,1,1,19,1,1,1101
229,0,1.08919889992103,чинтирь,1,1,19,1,1,1101
230,1,1.060822600033134,утро,1,1,19,1,1,1101
231,1,1.111245200037956,живот,1,1,19,1,1,1101
232,1,1.070143699995242,лампа,1,1,19,1,1,1101
233,0,2.126352300052531,дипа,1,1,19,1,1,1101
234,0,1.162394499988295,свеммо,1,1,19,1,1,1101
235,0,1.561666200053878,выньце,1,1,19,1,1,1101
236,1,1.263027400011197,палка,1,1,19,1,1,1101
237,1,1.339423900004476,рукав,1,1,19,1,1,1101
238,0,1.41396989999339,зейпан,1,1,19,1,1,1101
239,0,1.171229999978095,пестце,1,1,19,1,1,1101
240,0,1.651838500052691,раква,1,1,19,1,1,1101
241,0,0.9978536000708118,котчох,1,1,19,1,1,1101
242,0,1.243775699986145,ускут,1,1,19,1,1,1101
243,1,1.170389000093564,йогурт,1,1,19,1,1,1101
244,0,1.866534799919464,фектет,1,1,19,1,1,1101
245,1,1.686816800036468,дети,1,1,19,1,1,1101
246,1,0.9600036999909208,муха,1,1,19,1,1,1101
247,0,0.928226900054142,черан,1,1,19,1,1,1101
248,1,0.8548638999927789,кукла,1,1,19,1,1,1101
249,1,0.975496600032784,вагон,1,1,19,1,1,1101
250,0,1.400423099985346,шада,1,1,19,1,1,1101
251,1,1.169551700004376,кошка,1,1,19,1,1,1101
252,0,1.224350400036201,депьял,1,1,19,1,1,1101
253,1,1.488726100069471,масло,1,1,19,1,1,1101
254,0,1.243240799987689,акань,1,0,19,1,1,1101
255,1,1.207083399989642,санки,1,1,19,1,1,1101
256,0,1.190370300086215,васка,1,1,19,1,1,1101
257,1,0.9434785000048578,зубы,1,1,19,1,1,1101
258,1,0.8943428999045864,голос,1,1,19,1,1,1101
259,0,1.38263080001343,черсы,1,1,19,1,1,1101
260,1,0.9285134999081492,щека,1,1,19,1,1,1101
261,1,1.183428900083527,пальто,1,1,19,1,1,1101
262,0,1.703072699951008,долькшнет,1,1,19,1,1,1101
263,0,1.229919899953529,лонрог,1,1,19,1,1,1101
264,0,1.141035299981013,лоур,1,1,19,1,1,1101
265,0,0.9279056000523268,боктен,1,1,19,1,1,1101
266,0,1.437355599948205,южжичь,1,1,19,1,1,1101
267,1,1.195111699984409,свеча,1,1,19,1,1,1101
268,0,1.582232399960048,каврам,1,1,19,1,1,1101
269,0,1.129284000024199,плиттер,1,1,19,1,1,1101
270,0,0.8465156999882311,мистна,1,1,19,1,1,1101
271,1,1.021200199960731,тряпка,1,1,19,1,1,1101
272,1,1.17207640002016,лапа,1,1,19,1,1,1101
273,0,1.264295700006187,дярка,1,1,19,1,1,1101
274,0,1.393513699993491,щулька,1,1,19,1,1,1101
275,1,1.052631999948062,пюре,1,1,19,1,1,1101
276,0,1.443465800024569,найта,1,1,19,1,1,1101
277,0,1.984574200003408,зелер,1,1,19,1,1,1101
278,1,1.013687000027858,пчела,1,1,19,1,1,1101
279,1,0.7807437999872491,лицо,1,1,19,1,1,1101
280,1,0.7956004999577999,сапог,1,1,19,1,1,1101
281,0,0.9365594000555576,кеппет,1,1,19,1,1,1101
282,0,1.124780799960718,плинка,1,1,19,1,1,1101
283,0,0.8541799000231549,рацма,1,1,19,1,1,1101
284,0,0.8469531999435276,сларты,1,1,19,1,1,1101
285,0,1.025318200001493,толье,1,1,19,1,1,1101
286,1,1.271235199994408,танец,1,1,19,1,1,1101
287,1,0.8841776000335813,ванна,1,1,19,1,1,1101
288,1,1.02061520004645,локоть,1,1,19,1,1,1101
289,0,1.154757599928416,ювак,1,1,19,1,1,1101
290,0,0.9004551999969408,апонь,1,1,19,1,1,1101
291,0,0.8413227999117225,веньмо,1,1,19,1,1,1101
292,1,1.751931200036779,кольцо,1,1,19,1,1,1101
293,1,1.013993100030348,краска,1,1,19,1,1,1101
294,1,0.8440694999881089,слеза,1,1,19,1,1,1101
295,1,1.544829100021161,поезд,1,1,19,1,1,1101
296,0,1.332543399999849,шапань,1,1,19,1,1,1101
297,1,0.9535485000815244,этаж,1,1,19,1,1,1101
298,1,1.003621599986218,буква,1,1,19,1,1,1101
299,0,0.9225789000047372,интец,1,0,19,1,1,1101
300,0,1.526396599947475,сжичка,1,0,19,1,1,1101
301,0,0.9845634999219328,глека,1,1,19,1,1,1101
302,0,1.042017900035717,шелир,1,1,19,1,1,1101
303,0,0.8426657000090927,барнак,1,1,19,1,1,1101
304,0,0.9023847999051212,мероть,1,1,19,1,1,1101
305,1,10.73338420002256,угол,0,0,19,1,2,1102
306,0,6.510249999933876,грунир,0,1,19,1,2,1102
307,1,1.877030799980275,номер,0,1,19,1,2,1102
308,1,1.131100400001742,стена,0,1,19,1,2,1102
309,0,1.168209800031036,фызюк,0,1,19,1,2,1102
310,1,1.200421699904837,музей,0,1,19,1,2,1102
311,1,1.358822699985467,месяц,0,1,19,1,2,1102
312,1,1.113556900061667,изюм,0,1,19,1,2,1102
313,1,1.100904499995522,берег,0,1,19,1,2,1102
314,1,1.07028350001201,адрес,0,1,19,1,2,1102
315,0,1.098091799998656,птайка,0,1,19,1,2,1102
316,0,1.30087849998381,нраты,0,1,19,1,2,1102
317,1,1.131422799895518,билет,0,1,19,1,2,1102
318,1,1.449070999980904,кнопка,0,1,19,1,2,1102
319,1,1.206477200030349,камень,0,1,19,1,2,1102
320,0,1.216329999966547,шмынька,0,1,19,1,2,1102
321,1,1.07595080009196,удар,0,1,19,1,2,1102
322,1,1.273868100019172,глаза,1,1,19,1,2,1102
323,0,1.106965500046499,цупка,1,1,19,1,2,1102
324,0,1.103202300029807,витлюн,1,1,19,1,2,1102
325,1,1.246302100014873,ванна,1,1,19,1,2,1102
326,0,1.28178829990793,апаж,1,1,19,1,2,1102
327,1,0.930425800033845,луна,1,1,19,1,2,1102
328,0,1.289364599972032,целдер,1,1,19,1,2,1102
